,fico,term,pti,ltv,age
0,771.38434,5.914379,0.06280366,1.1811669,45.652824
1,829.8902,5.8153267,0.12041257,1.2218876,36.459377
2,607.4079,5.214087,0.1308171,1.1915346,37.548164
3,574.9549,6.1373215,0.113409445,1.1249372,42.06475
4,446.36697,6.6318607,0.15894899,1.1956395,52.98559
5,758.7588,6.091052,0.092651926,1.1925197,46.976894
6,711.63074,6.071647,0.12689924,0.9270446,40.264183
7,725.79767,5.3340755,0.19736357,0.7505606,51.598614
8,637.0925,6.5906754,0.13047816,1.0999529,46.73692
9,488.67303,6.777002,0.15108162,1.346916,45.845028
10,831.71265,3.6256769,0.095719054,1.0036083,39.006687
11,771.4138,5.5128865,0.12939012,0.8664056,42.89891
12,733.15216,7.359859,0.18579224,1.4637754,29.085667
13,688.582,6.497585,0.19821072,1.1243231,38.910084
14,662.8472,6.393149,0.0862305,0.8472388,48.041904
15,502.19888,5.757914,0.14513797,0.928685,25.473866
16,531.0157,6.7827916,0.14463845,1.0001959,46.15147
17,590.68823,7.2960224,0.17468761,1.0629089,51.59168
18,865.3591,7.047095,0.08999892,1.1927527,49.421196
19,571.5499,6.141901,0.013732712,0.9418552,41.00336
20,657.69147,7.343009,0.13372472,1.2168373,43.524292
21,493.91766,6.894999,0.012294094,0.9695501,36.68219
22,772.24835,6.033396,0.16367413,1.2476307,32.189564
23,636.7117,8.162016,0.22487323,1.0412418,41.449703
24,675.9746,8.0045185,0.122835465,0.85228324,36.633022
25,692.72906,6.2348895,0.08269623,0.84153205,37.08425
26,547.7921,5.796071,0.04827595,1.2746917,37.584885
27,587.82837,4.327959,0.14484824,0.7896282,43.1193
28,686.23364,5.13888,-0.008535442,0.8855249,44.24708
29,435.45187,5.421391,0.13398035,1.1162679,28.473392
30,563.8668,7.702794,0.1743453,1.1202453,45.18897
31,702.9114,4.347474,0.072452486,1.043033,41.118652
32,633.18585,8.402878,0.0993244,1.1070716,34.13857
33,710.5845,7.385902,0.14950886,0.9939147,33.19842
34,628.5828,4.1188564,0.06792063,0.92361766,52.716503
35,774.97925,8.44932,0.19100021,1.1308397,46.24449
36,560.61896,6.49407,0.19091173,0.9038225,40.20827
37,483.33472,5.133805,0.02904271,0.93507636,56.078823
38,679.0586,5.859179,0.104936466,0.5168705,42.410076
39,763.6556,5.29882,0.08250628,0.8961313,53.989098
40,562.7772,5.6974626,0.049099296,0.92168003,39.609177
41,579.82947,4.5923266,0.11784129,1.1236185,33.7678
42,633.60846,7.214248,0.10470814,1.3970106,47.56009
43,574.0963,6.2004633,0.048357736,0.8702239,52.811573
44,682.9654,7.090858,0.14618896,1.0908475,27.755093
45,566.3674,5.694972,0.10100857,0.8343432,47.75387
46,573.1567,6.359736,0.16996619,0.60940033,37.410057
47,632.0141,7.190278,0.06175594,0.8270227,39.746128
48,522.09503,6.6459675,0.23817061,0.7887351,44.05722
49,570.6267,6.369722,0.032610584,0.718943,54.112762
50,624.59344,5.7496495,0.15119521,1.1198497,38.451145
51,614.40125,7.353014,0.11798779,1.1705935,43.704838
52,390.40985,6.0879793,0.10234467,1.2273566,44.33821
53,684.9167,6.265468,0.10633001,1.47912,37.548534
54,751.3626,4.77494,0.10217266,0.713583,50.176586
55,614.8921,5.316668,0.108152024,1.2483858,53.693493
56,590.584,5.4557915,0.11487864,0.91015524,36.034367
57,713.67786,6.777717,0.1561636,0.9744818,42.990585
58,402.4826,5.0053544,0.11235939,0.9048954,36.24299
59,816.6872,5.280246,0.12763283,0.8464983,47.24078
60,693.2285,7.2353992,0.06600083,1.1310321,28.558443
61,653.6339,4.605023,0.07629951,1.0187166,42.775658
62,632.2965,5.1186066,0.11466228,0.9200033,45.211056
63,710.1478,6.093447,0.016019676,0.97766995,41.50268
64,752.0562,5.6728096,0.14616287,0.81753725,44.13607
65,538.81104,6.013632,0.06570893,1.2388967,41.355724
66,612.2717,5.085573,0.098623194,0.94710666,52.777237
67,677.36285,6.162421,0.038618516,1.0257002,44.603584
68,708.8875,7.108919,0.092339315,1.1400577,37.7462
69,739.07666,6.5769005,0.13537814,1.2909139,36.92322
70,513.6325,5.190175,0.1146932,1.0781022,39.269634
71,653.45795,6.3312206,0.0506432,0.97079766,56.943874
72,857.29736,7.114003,0.010001267,0.5878406,37.876
73,440.2501,5.693556,0.13393451,1.0516105,46.204346
74,694.59955,4.9482017,0.11993652,0.91027915,33.980694
75,569.3338,6.328808,0.20085512,1.2621905,27.930336
76,577.3073,4.248814,0.14517601,1.0004177,46.959442
77,637.17474,6.1993456,0.055650294,1.0002246,39.8065
78,548.4842,7.6419306,0.086898394,1.0931437,35.054543
79,619.4563,5.9842653,0.17495394,1.0381551,27.662888
80,749.89197,6.450177,0.053664032,0.9848335,42.24231
81,590.8572,6.41724,0.144098,1.1231121,41.23884
82,315.82843,6.8831143,0.10883801,0.9075938,40.607742
83,807.5304,6.2589993,0.105935924,0.9461086,49.886074
84,721.19025,6.01724,0.07102158,1.1228627,39.454853
85,695.586,4.043309,0.17059018,1.2514439,37.909286
86,445.58475,5.263738,0.16535972,1.1470104,34.488384
87,853.7147,4.343835,0.16108085,1.1362673,54.995514
88,609.42993,5.4191318,0.108251154,0.7144388,33.95483
89,731.79596,6.973829,0.10154556,1.3274099,57.451878
90,794.3962,6.09267,-0.006140251,0.93899244,46.258923
91,529.4233,5.8220124,0.07745658,1.1221536,41.605347
